nohup: ignoring input
Starting Power Logger...
2026-02-07 10:57:32.298225: 2368
2026-02-07 10:57:33.299324: 3085
2026-02-07 10:57:34.303133: 2690
2026-02-07 10:57:35.304239: 3150
2026-02-07 10:57:36.305247: 2296
2026-02-07 10:57:37.307937: 2261
2026-02-07 10:57:38.309033: 2258
2026-02-07 10:57:39.310125: 2258
2026-02-07 10:57:40.313175: 2258
2026-02-07 10:57:41.314288: 2258
2026-02-07 10:57:42.315935: 2223
2026-02-07 10:57:43.317323: 2258
2026-02-07 10:57:44.321200: 2258
2026-02-07 10:57:45.322303: 2258
2026-02-07 10:57:46.323446: 2258
2026-02-07 10:57:47.326078: 2258
2026-02-07 10:57:48.327171: 2258
2026-02-07 10:57:49.331747: 2258
2026-02-07 10:57:50.332925: 2258
2026-02-07 10:57:51.333205: 2296
2026-02-07 10:57:52.334298: 2296
2026-02-07 10:57:53.335438: 2258
2026-02-07 10:57:54.336592: 2258
2026-02-07 10:57:55.337268: 2296
2026-02-07 10:57:56.338380: 2258
2026-02-07 10:57:57.339590: 2223
2026-02-07 10:57:58.340730: 2296
2026-02-07 10:57:59.341874: 2296
2026-02-07 10:58:00.342943: 2330
2026-02-07 10:58:01.344062: 2296
2026-02-07 10:58:02.345230: 2296
2026-02-07 10:58:03.349345: 2258
2026-02-07 10:58:04.350443: 2258
2026-02-07 10:58:05.353593: 2258
2026-02-07 10:58:06.354684: 2258
2026-02-07 10:58:07.355826: 2296
2026-02-07 10:58:08.356974: 2258
2026-02-07 10:58:09.357201: 2296
2026-02-07 10:58:10.359135: 2296
2026-02-07 10:58:11.360311: 2258
2026-02-07 10:58:12.361239: 2258
2026-02-07 10:58:13.362580: 2258
2026-02-07 10:58:14.363688: 2258
2026-02-07 10:58:15.364788: 2258
2026-02-07 10:58:16.368501: 2258
2026-02-07 10:58:17.375871: 2258
2026-02-07 10:58:18.377019: 2258
2026-02-07 10:58:19.377209: 2258
2026-02-07 10:58:20.378298: 2258
2026-02-07 10:58:21.379408: 2258
2026-02-07 10:58:22.380492: 2296
2026-02-07 10:58:23.381255: 2296
2026-02-07 10:58:24.382356: 2258
2026-02-07 10:58:25.383915: 2258
2026-02-07 10:58:26.385008: 2258
2026-02-07 10:58:27.385211: 2261
2026-02-07 10:58:28.387644: 2292
2026-02-07 10:58:29.388738: 2258
2026-02-07 10:58:30.389375: 2296
2026-02-07 10:58:31.390466: 2258
2026-02-07 10:58:32.391761: 2223
2026-02-07 10:58:33.394552: 2223
2026-02-07 10:58:34.395653: 2296
2026-02-07 10:58:35.397997: 2258
2026-02-07 10:58:36.400726: 2296
2026-02-07 10:58:37.401193: 2258
2026-02-07 10:58:38.402451: 2258
2026-02-07 10:58:39.403589: 2292
2026-02-07 10:58:40.404859: 2258
2026-02-07 10:58:41.405287: 2296
2026-02-07 10:58:42.408246: 2258
2026-02-07 10:58:43.409724: 2258
2026-02-07 10:58:44.410813: 2296
2026-02-07 10:58:45.414464: 2258
2026-02-07 10:58:46.415550: 2296
2026-02-07 10:58:47.416646: 2334
2026-02-07 10:58:48.417754: 2258
2026-02-07 10:58:49.418875: 2296
2026-02-07 10:58:50.419962: 2330
2026-02-07 10:58:51.425921: 2258
2026-02-07 10:58:52.427024: 2296
2026-02-07 10:58:53.430912: 2223
2026-02-07 10:58:54.432129: 2296
2026-02-07 10:58:55.433267: 2223
2026-02-07 10:58:56.434366: 2258
2026-02-07 10:58:57.435552: 2258
2026-02-07 10:58:58.436726: 2258
2026-02-07 10:58:59.437314: 2258
2026-02-07 10:59:00.438447: 2296
2026-02-07 10:59:01.439536: 2258
2026-02-07 10:59:02.440634: 2258
2026-02-07 10:59:03.443306: 2223
2026-02-07 10:59:04.444510: 2258
2026-02-07 10:59:05.445534: 2258
2026-02-07 10:59:06.446617: 2258
2026-02-07 10:59:07.447724: 2296
