nohup: ignoring input
Starting Power Logger...
2026-02-07 10:57:33.424092: 8837
2026-02-07 10:57:34.425209: 6519
2026-02-07 10:57:35.438545: 6418
2026-02-07 10:57:36.439568: 6518
2026-02-07 10:57:37.440683: 9038
2026-02-07 10:57:38.441784: 6519
2026-02-07 10:57:39.442885: 6418
2026-02-07 10:57:40.444003: 6418
2026-02-07 10:57:41.445105: 6418
2026-02-07 10:57:42.446229: 6418
2026-02-07 10:57:43.447345: 6418
2026-02-07 10:57:44.448455: 6413
2026-02-07 10:57:45.449568: 6418
2026-02-07 10:57:46.450672: 6417
2026-02-07 10:57:47.451796: 6418
2026-02-07 10:57:48.452914: 6413
2026-02-07 10:57:49.454030: 6418
2026-02-07 10:57:50.455148: 6417
2026-02-07 10:57:51.456262: 6418
2026-02-07 10:57:52.457374: 6418
2026-02-07 10:57:53.458485: 6418
2026-02-07 10:57:54.459603: 6418
2026-02-07 10:57:55.460698: 6418
2026-02-07 10:57:56.461797: 6418
2026-02-07 10:57:57.462905: 6418
2026-02-07 10:57:58.464023: 6418
2026-02-07 10:57:59.465133: 6418
2026-02-07 10:58:00.466326: 7971
2026-02-07 10:58:01.467455: 6519
2026-02-07 10:58:02.467988: 6418
2026-02-07 10:58:03.469102: 6418
2026-02-07 10:58:04.470213: 6418
2026-02-07 10:58:05.471323: 6418
2026-02-07 10:58:06.472011: 6413
2026-02-07 10:58:07.475482: 6519
2026-02-07 10:58:08.475987: 6418
2026-02-07 10:58:09.477098: 6418
2026-02-07 10:58:10.478199: 6418
2026-02-07 10:58:11.484574: 6418
2026-02-07 10:58:12.485700: 6418
2026-02-07 10:58:13.486798: 6418
2026-02-07 10:58:14.487951: 6418
2026-02-07 10:58:15.489065: 6418
2026-02-07 10:58:16.490177: 6418
2026-02-07 10:58:17.491272: 6418
2026-02-07 10:58:18.492391: 6418
2026-02-07 10:58:19.493493: 6418
2026-02-07 10:58:20.494607: 6418
2026-02-07 10:58:21.495712: 6418
2026-02-07 10:58:22.496820: 6418
2026-02-07 10:58:23.497929: 6418
2026-02-07 10:58:24.499032: 6418
2026-02-07 10:58:25.500103: 6418
2026-02-07 10:58:26.501209: 6418
2026-02-07 10:58:27.502314: 6418
2026-02-07 10:58:28.503428: 6418
2026-02-07 10:58:29.504542: 6418
2026-02-07 10:58:30.505659: 6418
2026-02-07 10:58:31.506757: 6418
2026-02-07 10:58:32.507859: 6418
2026-02-07 10:58:33.507981: 6418
2026-02-07 10:58:34.509093: 6418
2026-02-07 10:58:35.510192: 6418
2026-02-07 10:58:36.511293: 6418
2026-02-07 10:58:37.512409: 6418
2026-02-07 10:58:38.513519: 6418
2026-02-07 10:58:39.514620: 6418
2026-02-07 10:58:40.515721: 6418
2026-02-07 10:58:41.515976: 6418
2026-02-07 10:58:42.517080: 6418
2026-02-07 10:58:43.518187: 6418
2026-02-07 10:58:44.519293: 6417
2026-02-07 10:58:45.520406: 6418
2026-02-07 10:58:46.521529: 6418
2026-02-07 10:58:47.522645: 6418
2026-02-07 10:58:48.523745: 6418
2026-02-07 10:58:49.524861: 6418
2026-02-07 10:58:50.525971: 6418
2026-02-07 10:58:51.527075: 6418
2026-02-07 10:58:52.528117: 6418
2026-02-07 10:58:53.529217: 6418
2026-02-07 10:58:54.530316: 6418
2026-02-07 10:58:55.531421: 6418
2026-02-07 10:58:56.532529: 6418
2026-02-07 10:58:57.533629: 6418
2026-02-07 10:58:58.534728: 6417
2026-02-07 10:58:59.535834: 6418
2026-02-07 10:59:00.536106: 7971
2026-02-07 10:59:01.537209: 6519
2026-02-07 10:59:02.538327: 6418
2026-02-07 10:59:03.539428: 6418
2026-02-07 10:59:04.539976: 6418
2026-02-07 10:59:05.541077: 6417
2026-02-07 10:59:06.546483: 6418
2026-02-07 10:59:07.547586: 6418
2026-02-07 10:59:08.547976: 6418
2026-02-07 10:59:09.549082: 6418
2026-02-07 10:59:10.550183: 6418
2026-02-07 10:59:11.551305: 6418
2026-02-07 10:59:12.552005: 6418
2026-02-07 10:59:13.553115: 6418
2026-02-07 10:59:14.554218: 6418
2026-02-07 10:59:15.555330: 6418
2026-02-07 10:59:16.556004: 6418
2026-02-07 10:59:17.557117: 6418
2026-02-07 10:59:18.558238: 6418
2026-02-07 10:59:19.559349: 6418
2026-02-07 10:59:20.560468: 6418
2026-02-07 10:59:21.561589: 6418
2026-02-07 10:59:22.562691: 6418
2026-02-07 10:59:23.563802: 6418
2026-02-07 10:59:24.563982: 6418
2026-02-07 10:59:25.565079: 6418
2026-02-07 10:59:26.566184: 6418
2026-02-07 10:59:27.567284: 6418
2026-02-07 10:59:28.567990: 6413
2026-02-07 10:59:29.569106: 6418
2026-02-07 10:59:30.570221: 6519
2026-02-07 10:59:31.571325: 6418
2026-02-07 10:59:32.571986: 6418
2026-02-07 10:59:33.573087: 6418
2026-02-07 10:59:34.574204: 6413
2026-02-07 10:59:35.575320: 6418
2026-02-07 10:59:36.576430: 6418
2026-02-07 10:59:37.577548: 6418
2026-02-07 10:59:38.578650: 6418
2026-02-07 10:59:39.579766: 6418
2026-02-07 10:59:40.580892: 6418
2026-02-07 10:59:41.582009: 6418
2026-02-07 10:59:42.583114: 6418
2026-02-07 10:59:43.584232: 6418
2026-02-07 10:59:44.585358: 6418
2026-02-07 10:59:45.586479: 6418
2026-02-07 10:59:46.587586: 6418
2026-02-07 10:59:47.588030: 7104
2026-02-07 10:59:48.589161: 6418
2026-02-07 10:59:49.590278: 6418
2026-02-07 10:59:50.591410: 6418
2026-02-07 10:59:51.592027: 6418
2026-02-07 10:59:52.593441: 6620
2026-02-07 10:59:53.594850: 6418
2026-02-07 10:59:54.596255: 6418
2026-02-07 10:59:55.597371: 6418
2026-02-07 10:59:56.598780: 6418
2026-02-07 10:59:57.599933: 6418
2026-02-07 10:59:58.601063: 6418
2026-02-07 10:59:59.602171: 6418
2026-02-07 11:00:00.603298: 7870
2026-02-07 11:00:01.604357: 6519
2026-02-07 11:00:02.605678: 8857
2026-02-07 11:00:03.606990: 8776
2026-02-07 11:00:04.608311: 8676
2026-02-07 11:00:05.609410: 8575
2026-02-07 11:00:06.610801: 8777
2026-02-07 11:00:07.612185: 8192
2026-02-07 11:00:08.613594: 8091
2026-02-07 11:00:09.614702: 7889
2026-02-07 11:00:10.616133: 7789
2026-02-07 11:00:11.617541: 7486
2026-02-07 11:00:12.625990: 6978
2026-02-07 11:00:13.627148: 7643
2026-02-07 11:00:14.628543: 7542
2026-02-07 11:00:15.629640: 5808
2026-02-07 11:00:16.631025: 5323
2026-02-07 11:00:17.632665: 5323
2026-02-07 11:00:18.634044: 5323
2026-02-07 11:00:19.635623: 5323
2026-02-07 11:00:20.641987: 5323
2026-02-07 11:00:21.643619: 5122
2026-02-07 11:00:22.650774: 5323
2026-02-07 11:00:23.652018: 5223
2026-02-07 11:00:24.653652: 5223
2026-02-07 11:00:25.655327: 5323
2026-02-07 11:00:26.656904: 5223
2026-02-07 11:00:27.658549: 5223
2026-02-07 11:00:28.660191: 5223
2026-02-07 11:00:29.661827: 5223
2026-02-07 11:00:30.663019: 5323
2026-02-07 11:00:31.664265: 5707
2026-02-07 11:00:32.665674: 5323
2026-02-07 11:00:33.667328: 5323
2026-02-07 11:00:34.668104: 5223
2026-02-07 11:00:35.669752: 5122
2026-02-07 11:00:36.671408: 5323
2026-02-07 11:00:37.672627: 6796
2026-02-07 11:00:38.674006: 5323
2026-02-07 11:00:39.675184: 5323
2026-02-07 11:00:40.676424: 5323
2026-02-07 11:00:41.677617: 5323
2026-02-07 11:00:42.678828: 5424
2026-02-07 11:00:43.680454: 5323
2026-02-07 11:00:44.682081: 5223
2026-02-07 11:00:45.683736: 5223
2026-02-07 11:00:46.684970: 5323
2026-02-07 11:00:47.686246: 5323
2026-02-07 11:00:48.687837: 5323
2026-02-07 11:00:49.688055: 5323
2026-02-07 11:00:50.689248: 5323
2026-02-07 11:00:51.690521: 5223
2026-02-07 11:00:52.691747: 5323
2026-02-07 11:00:53.693392: 5323
2026-02-07 11:00:54.694565: 5323
2026-02-07 11:00:55.696178: 5323
2026-02-07 11:00:56.697832: 5323
2026-02-07 11:00:57.699468: 5223
2026-02-07 11:00:58.701123: 5323
2026-02-07 11:00:59.702714: 5223
2026-02-07 11:01:00.703977: 7057
2026-02-07 11:01:01.705586: 5707
2026-02-07 11:01:02.707215: 5323
2026-02-07 11:01:03.708847: 5222
2026-02-07 11:01:04.710059: 5323
2026-02-07 11:01:05.711709: 5323
2026-02-07 11:01:06.713342: 5323
2026-02-07 11:01:07.714531: 5223
2026-02-07 11:01:08.715770: 5323
2026-02-07 11:01:09.717416: 5122
2026-02-07 11:01:10.719054: 5323
2026-02-07 11:01:11.720654: 5323
2026-02-07 11:01:12.721877: 5323
2026-02-07 11:01:13.723520: 5323
2026-02-07 11:01:14.724724: 5223
2026-02-07 11:01:15.726385: 5223
2026-02-07 11:01:16.728081: 5223
2026-02-07 11:01:17.729738: 5223
2026-02-07 11:01:18.731339: 5323
2026-02-07 11:01:19.732565: 5122
2026-02-07 11:01:20.734220: 5223
2026-02-07 11:01:21.735931: 5223
2026-02-07 11:01:22.737530: 5223
2026-02-07 11:01:23.739159: 5323
2026-02-07 11:01:24.740839: 5323
2026-02-07 11:01:25.742483: 5323
2026-02-07 11:01:26.744137: 5323
2026-02-07 11:01:27.745793: 5323
2026-02-07 11:01:28.747016: 5323
2026-02-07 11:01:29.748237: 5323
2026-02-07 11:01:30.749910: 5323
2026-02-07 11:01:31.751540: 5323
2026-02-07 11:01:32.752762: 5323
2026-02-07 11:01:33.754026: 5323
